Tow Date,Vehicle Year,Vehicle Make,Vehicle Model,Tow Reason,Storage Company,Notes,Incident Date,Location,City,Geo-location field
05/17/2020,2014,JEEP,WRG,NOP,BIG TOW,NOP / BIG TOW 301-424-4869 / TCL,05/19/0020,7237 MILLCREST TER,DERWOOD,POINT (-77.147014 39.146159)
05/05/2020,2016,FORD,FUS,PKG,TCL,"PRESTIGE (301) 377-9285, PKG, BACK TO THE LOT //",05/22/0005,429 W DIAMOND AVE,GAITHERSBURG,POINT (-77.208879 39.14042)
05/04/2020,2018,NISS,SE,NOP,Henry's,NOP// HENRYS 301-927-0007// TCL,04/22/0005,10512 WESTLAKE DR,BETHESDA,POINT (-77.147383 39.027419)
05/27/2020,2010,FORD,EDG,NOP,AUTHORIZED,AUTHORIZED 301-562-4020 // NOP // TCL,05/29/0020,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
05/27/2020,2019,TOYT,COA,FIRE,NULL,FIRE LANE  A&M TOWING /301-421-0953  TCL,05/29/0020,11503 WHITE OAK VISTA TER,SILVER SPRING,POINT (-76.982624 39.046005)
05/24/2020,2017,HOND,CIV,PKG,TCL,PARKED IN TWO SPACES// HENRYS 301-927-0007//TCL,05/26/0020,3940 BEL PRE RD,SILVER SPRING,POINT (-77.077178 39.091982)
05/10/2020,2014,FORD,F150,PKG,TCL,NO COMM VEH PERMITTED // HENRYS // 301-869-4800 // TCL,10/22/0005,10015 SHELLDRAKE CIR,DAMASCUS,POINT (-77.208231 39.27793)
05/02/2020,2015,TOYT,RAV,FIRE,SPEEDY,,02/22/0005,14002 COVE LN,ROCKVILLE,POINT (-77.12034 39.084939)
05/20/2020,2013,BMW,335,NOP,tcl,NO PERM // HENRY'S 301-869-4800 // TCL,05/22/0020,3506 ASTON MANOR CT,SILVER SPRING,POINT (-76.935765 39.079908)
05/16/2020,1998,ACUR,INT,EXP,tcl,EXP PERMIT // TCL // PRESTIGE (301) 377-9285,05/18/0020,19860 CENTURY BLVD,GERMANTOWN,POINT (-77.26558 39.181866)
05/17/2020,2019,CHEV,EQX,PRV,PRESTIGE,PRV PROP // PRESTIGE @ 301-377-9285 // TCL,05/19/0020,101 PARK AVE,GAITHERSBURG,POINT (-77.195077 39.144489)
05/08/2020,20,HYUN,ELN,NOP,tcl,NO PERMIT // PRESTIGE 301-377-9285//TCL,08/22/0005,430 ALLIED PL,GAITHERSBURG,POINT (-77.16 39.161)
05/14/2020,2015,HYUN,SON,NOP,TCL,NOP // AUTHORIZED // 301-562-4020 // TCL,05/16/0020,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
05/03/2020,2019,BMW,X3,NOP,tcl,HENRYS 301-869-4800  EXP PERMIT   TCL,03/22/0005,11215 GEORGIA AVE,SILVER SPRING,POINT (-77.050954 39.039125)
05/27/2020,2017,CHEV,SON,NOP,HENRYS,HENRYS 301-927-0007 // NO OVERNIGHT PKG/NO OVERNIGHT PERMIT // TCL,05/29/0020,13639 GEORGIA AVE,SILVER SPRING,POINT (-77.0737 39.079765)
05/29/2020,2014,JEEP,CHK,NOP,TCL,AUTHOIRZED 301-562-4020  NOP   TCL,05/31/0020,9507 HORIZON RUN RD,MONTGOMERY VILLAGE,POINT (-77.197087 39.157839)
05/28/2020,2006,CHEV,TBZ,PRV,PRESTIGE,PRESTIGE 3018779285  PRIVATE PROPERTY,05/30/0020,25 SCHOOL DR,GAITHERSBURG,POINT (-77.212569 39.119317)
05/12/2020,2010,TOYT,CAM,NOP,tcl,SPEEDY 301-588-1322 // VISITOR PERMIT  PARKING // TCL,12/22/0005,2800 CLEAR SHOT DR,SILVER SPRING,POINT (-77.055784 39.107842)
05/18/2020,4,TOYT,SIENA,NOP,TCL,NO PERMIT // BIG TOW 301-424-4869//TCL,05/20/0020,19474 BRASSIE PL,MONTGOMERY VILLAGE,POINT (-77.201752 39.174732)
05/29/2020,1997,JEEP,WRG,PKG,TCL,HENRYS 3018694800  FIRE LN   TCL,05/31/0020,50 CROSS COUNTRY CT,GAITHERSBURG,POINT (-77.179666 39.163047)
05/06/2020,2004,FORD,VIC,PKG,Henry's,EXPIRED // HENRY 301-869-4800 // TCL,06/22/0005,9821 BETHESDA CHURCH RD,DAMASCUS,POINT (-77.20385 39.283525)
05/23/2020,2017,VOLK,PAS,DOUBLE PARKED,HENRYS,DOUBLE PARKED HENRYS  301-869-4800 TCL,05/25/0020,20411 MEADOW POND PL,MONTGOMERY VILLAGE,POINT (-77.202129 39.190893)
05/24/2020,2019,HYUN,ELN,NOP,TCL,DRIVE // 301 585 8808 // NOP // TCL,05/26/0020,1701 MT PISGAH LN,SILVER SPRING,POINT (-76.976544 39.015129)
05/04/2020,2011,CHEV,MAL,PKG,TCL,PRESTIGE 3013779285  PARKED IN RESERVE SPACE   TCL,04/22/0005,4101 POSTGATE TER,SILVER SPRING,POINT (-77.079155 39.087717)
05/23/2020,2016,FORD,FUS,NOP,Diversified,NO PERMIT  DIVERSIFIED 3018818035 TCL   **VIN COVERED **,05/25/0020,722 IVY LEAGUE LN,ROCKVILLE,POINT (-77.156189 39.093451)
05/03/2020,2006,CHEV,MAL,NOP,tcl,ALTERED PERMIT // HENRYS 301-869-4800 TCL,03/22/0005,17835 WASHINGTON GROVE LN,GAITHERSBURG,POINT (-77.164836 39.152283)
05/14/2020,2019,DODG,CAR,NOP,NULL,NOP // DRIVE 301 585 8808 // TCL,05/16/0020,1150 RIPLEY ST,SILVER SPRING,POINT (-77.028565 38.992475)
05/11/2020,2004,HOND,CRV,NOP,AUTHORIZE,AUTHORIZE TOW 301-562-4020//NOP//TCL,11/22/0005,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
05/18/2020,2010,MERZ,M50,PKG,HENRYS,HENRYS 301-869-4800 // RESID IN VISITOR PKG // TCL,05/20/0020,17801 BUEHLER RD,OLNEY,POINT (-77.06341 39.148955)
05/02/2020,2012,NISS,ALT,NOP,TCL,NOP // HENRY'S // 301-869-4800 // TCL,02/22/0005,18901 SMOOTHSTONE WAY,MONTGOMERY VILLAGE,POINT (-77.20948 39.167828)
05/16/2020,2013,MNNI,CPR,NOP,TCL,AUTH 3015624020  NOP  TCL,05/18/0020,8021 GEORGIA AVE,SILVER SPRING,POINT (-77.026573 38.987758)
05/17/2020,2003,JEEP,LBY,PKG,authorized,VEH PARKED IN MULTIPLE SPACES // AUTHORIZED 301 562 4020 // TCL,05/19/0020,9806 MAHOGANY DR,GAITHERSBURG,POINT (-77.201438 39.114884)
05/21/2020,2020,HYN,ELN,NOP,Authorized,NOP // AUTHORIZED 301-562-4020 // TCL,05/23/0020,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
05/18/2020,2013,KIA,OPT,NOP,TCL,"NOP // AUTHORIZED 301 562 4020 , TCL",05/20/0020,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
05/02/2020,2015,NISS,SEN,NOP,TCL,EXPIRED PERMIT//HENRYS//3018694800//TCL,02/22/0005,5901 MONTROSE RD,ROCKVILLE,POINT (-77.1192 39.052973)
05/05/2020,2018,NISS,SEN,FIRE,TCL,FIRELANE // SPEEDY'S // 301-588-1322 // TCL,05/22/0005,17901 CALABAR DR,GAITHERSBURG,POINT (-77.164775 39.149455)
05/06/2020,2018,TOYT,COA,NOP,TCL,"AUTHORIZED 301 462-4020, NOP, BACK TO THE LOT //",06/22/0005,11430 LOCKWOOD DR,SILVER SPRING,POINT (-76.986829 39.041164)
05/11/2020,2008,FORD,RNG,DAV,TCL,VIN UNREADABLE // DISABLED VEH // TCL // RICKYS (301) 444-9499,11/22/0005,5515 SECURITY LN,ROCKVILLE,POINT (-77.110892 39.041845)
05/09/2020,2014,MITS,OUT,NOP,Authorized,AUTHORIZED TOWING 301 562 4020 / NOP / TCL,09/22/0005,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
05/04/2020,2019,SUBA,OUT,NOP,TCL,PRESTIGE 301-377-9285  NOP  TCL,04/22/0005,780 QUINCE ORCHARD BLVD,GAITHERSBURG,POINT (-77.228804 39.139742)
05/20/2020,19,DODG,CAR,NOP,henrys,NOP HENRYS 301-927-0007/ TCL,05/22/0020,12001 OLD COLUMBIA PIKE,SILVER SPRING,POINT (-76.975033 39.053272)
05/20/2020,2016,FORD,TCN,PKG,Speedy,NO COMM VEH PKG // SPEEDY TOWING 301 - 588 - 1322 // TCL,05/22/0020,17528 GALLAGHER WAY,OLNEY,POINT (-77.089685 39.144556)
05/16/2020,2016,JEEP,WRG,PRV,tcl,,05/18/0020,3900 BLACKBURN LN,BURTONSVILLE,POINT (-76.9307 39.104619)
05/10/2020,2008,HOND,CIV,NOP,EX[,EXP  AUTHORIZED  301-5624020 TCL,10/22/0005,13831 CASTLE BLVD,SILVER SPRING,POINT (-76.942666 39.083117)
05/08/2020,2006,MERC,MTN,FIRE,tcl,FIRE LN // AUTHORIZED301-562-4020,08/22/0005,8721 PINEY BRANCH RD,SILVER SPRING,POINT (-76.996781 38.999203)
05/06/2020,2002,TOYT,HGH,EXP,TCL,EXPIRED PERMIT // AUTHORIZED 301-562-4020 // TCL,06/22/0005,3626 PEAR TREE CT,SILVER SPRING,POINT (-77.071511 39.091306)
05/02/2020,2014,FORD,F150,NOP,TCL,NOP // HENRY'S // 301-869-4800 // TCL,02/22/0005,9299 HUMMINGBIRD TER,GAITHERSBURG,
05/15/2020,2011,HOND,CRV,PKG,AUTHORIZED,NO PARKING ZONE / AUTHORIZED TCL 301-562-4020,05/17/0020,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
05/25/2020,2017,CHEV,MAL,PKG,NULL,RESERVED SPACE// RICKEYS 240 461 9995// TCL,05/27/0020,19248 CIRCLE GATE DR,GERMANTOWN,POINT (-77.263761 39.170691)
05/09/2020,2020,HOND,CRV,NOP,NULL,NO PERMIT// HENRYS 301 869 4800// TCL,09/22/0005,3630 CASTLE TER,SILVER SPRING,POINT (-76.938472 39.0902)
05/26/2020,8,FORD,ESC,NOP,tcl,NO PERMIT .// A&M 301-421-0953//TCL,05/28/0020,12869 CLIMBING IVY DR,GERMANTOWN,POINT (-77.266812 39.165584)
05/24/2020,2012,KIA,FRT,NOP,TCL,NOP // HENRYS // 301-869-4800 // TCL,05/26/0020,11802 ELDERBERRY DR,GERMANTOWN,POINT (-77.243584 39.173136)
05/21/2020,2012,HOND,CIV,NOP,TCL,"NO VISITOR PERMIT // HENRYS 301 869 4800 , TCL",05/23/0020,18710 WALKERS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.204414 39.163187)
05/29/2020,2013,FORD,FIE,EXP,BIG TOW,EXP BIG TOW 301-424-4869 TCL,05/31/0020,10067 RIDGELINE DR,MONTGOMERY VILLAGE,POINT (-77.205351 39.17575)
05/22/2020,2013,HYUN,SON,NOP,NULL,NOP // DRIVE 301 585 8808 // TCL,05/24/0020,1801 HAMPSHIRE GREEN LN,SILVER SPRING,POINT (-76.974173 39.015179)
05/12/2020,2004,FORD,EXP,PRV,TCL,PRESTIGE 301-377-9285  PRV PROP  TCL,12/22/0005,8200 SPICEBERRY LN,GAITHERSBURG,POINT (-77.164221 39.152013)
05/13/2020,2001,FORD,F15,PRV,PRESTAGE,,05/15/0020,8200 SPICEBERRY LN,GAITHERSBURG,POINT (-77.164221 39.152013)
05/20/2020,2016,SUBA,FOR,FIRE,tcl,"FIRE LANE// HENRY'S, 301-869-4800, TCL",05/22/0020,1 VALLEY PARK CT,DAMASCUS,POINT (-77.204767 39.278088)
05/05/2020,2013,KIA,SOR,NOP,Diversified,EXPIRED PASS  (WARNING 2 DAYS AGO) / DIVERSIFIED / 3018818035 / TCL,05/22/0005,5200 CROSSFIELD CT,ROCKVILLE,POINT (-77.103104 39.05705)
05/13/2020,2020,NISS,RGE,FIRE,TCL,FIRE  AUTHORIZED 301-562-4020  TCL,05/15/0020,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
05/23/2020,2013,HYUN,ELN,PKG,tcl,NO OVERNIGHT PARKING // ANM TOWING 301-421-0953,05/25/0020,19000 PARTRIDGE WOOD DR,GERMANTOWN,POINT (-77.259388 39.166717)
05/15/2020,2020,CHEV,SPK,PRV,PRESTIGE,PRV PROP // PRESTIGE @ 301-377-9285 // TCL,05/17/0020,418 ALLIED PL,GAITHERSBURG,POINT (-77.191331 39.150811)
05/31/2020,2015,INFI,,NOP,HENRY'S,NOP HENRY'S 301-869-4800 TCL,06/02/0020,12901 CHURCHILL RIDGE CIR,GERMANTOWN,POINT (-77.267057 39.187295)
05/13/2020,2015,TOYT,COA,PKG,TCL,RESID IN VISITOR SPOT // HENRY'S // 301-869-4800 // TCL,05/15/0020,12939 BIG HORN DR,SILVER SPRING,POINT (-76.939554 39.065797)
05/13/2020,2000,TOYT,COA,NOP,HENRYS,,05/15/0020,3914 BEL PRE RD,SILVER SPRING,POINT (-77.07701 39.093804)
05/02/2020,2013,HYUN,ELN,NOP,henrys,,02/22/0005,19006 MILLS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.207908 39.168927)
05/06/2020,19,CVOLK,JET,NOP,authorized,NOP// AUTHORIZED 301-562-4020// TCL,06/22/0005,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
05/27/2020,2017,TOYT,TUN,PRV,NULL,"HENRY'S  301 869 4800  TCL // RESV SPACE, PARKED IN 2 SPACES",05/29/0020,19633 GUNNERS BRANCH RD,GERMANTOWN,POINT (-77.241991 39.17633)
05/18/2020,2014,FORD,FOC,NOP,tcl,NOP// AUTHORIZED TOWING 301.562.4020// TCL,05/20/0020,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
05/24/2020,1998,FORD,MUS,NOP,TCL,NOP - HENRYS - 301-869-4800 - TCL,05/26/0020,716 WEST SIDE DR,GAITHERSBURG,POINT (-77.203624 39.124862)
05/16/2020,2009,TOYT,CAM,NOP,NULL,NO PERMIT// DRIVE TOWING 301 585 8808// TCL,05/18/0020,9704 MT PISGAH RD,SILVER SPRING,POINT (-76.976675 39.015628)
05/28/2020,2017,CHEV,,PKG,henrys,FIRE LANE/BLOCKING ACCESS TO SIDEWALK PER MANAGEMENT//HENRYS//301-869-4800//TCL,05/30/0020,20603 DUCK POND PL,GERMANTOWN,POINT (-77.270336 39.195445)
05/31/2020,2017,NISS,RGE,FIRE,tcl,HENRYS 3018694800  FIRE LANE,06/02/0020,9834 DAIRYTON CT,MONTGOMERY VILLAGE,POINT (-77.201888 39.189445)
05/25/2020,2010,NISS,RGE,PKG,TCL,TAKING UP 2 PARKING SPACES // HENRYS WRECKER 301-869-4800 // TCL,05/27/0020,7600 INDIAN HILLS DR,DERWOOD,POINT (-77.155224 39.116702)
05/21/2020,2017,NISS,RGE,PRoperty management,tcl,PROPERTY MANAGEMENT FOR BEING IN VISTORS SPACE FOR OVER 3 DAYS   HENRYS 301-869-4800 TCL,05/23/0020,24 HUNTERS GATE CT,SILVER SPRING,POINT (-76.952781 39.05549)
05/12/2020,2004,FORD,F250,PKG,Diversified,NO COMERCIAL TRUCK PKG /// DIVERSIFIED // 301-881-8035 // TCL,12/22/0005,3207 UNIVERSITY BLVD W,KENSINGTON,POINT (-77.065604 39.035623)
05/19/2020,2019,FORD,F25,NOP,TCL,NO VISITOR PASS/ DIVERSIFIED 3018818035 // TCL,05/21/0020,5401 WESTBARD AVE,BETHESDA,POINT (-77.106682 38.963948)
05/22/2020,2011,HOND,CIV,NOP,TCL,NOP // AUTHORIZED // 301-562-4020 // TCL,05/24/0020,2280 GEORGIAN WOODS PL,SILVER SPRING,POINT (-77.047625 39.055835)
05/10/2020,2018,BMW,428,NOP,NULL,NO PERMIT // HENRY'S 301 927 0007 // TO TCL,10/22/0005,11215 GEORGIA AVE,SILVER SPRING,POINT (-77.050954 39.039125)
05/19/2020,9,HOND,CIV,NOP,henry's,HENRY'S 301-869-4800 // TCL // INVALID PER,05/21/0020,1060 WEST SIDE DR,GAITHERSBURG,POINT (-77.204273 39.125652)
05/10/2020,2006,FORD,500,FIRE,TCL,PARKED IN FIRE LANE // HENRY'S 301-869-4800 // TCL,10/22/0005,9801 BROOKRIDGE CT,MONTGOMERY VILLAGE,POINT (-77.202546 39.188164)
05/09/2020,2006,FORD,FUS,PKG,TCL,PARKED ON YELLOW CURB // DIVERSIFIED // 301-881-8035 // TCL  OWNER NOTIF @0840 ON 05/09/2020,09/22/0005,4716 BRADLEY BLVD,CHEVY CHASE,POINT (-77.092317 38.977714)
05/02/2020,2018,CHEV,CRZ,NOP,Henry's,NO PERMIT DISPLAYED // HENRYS # 301-869-4800 // TCL,02/22/0005,19060 MILLS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.208318 39.168236)
05/03/2020,2015,DODG,CHA,NOP,tcl,NO PERMIT // TCL // HENRYS (301) 869-4800,03/22/0005,11708 ROSEARBOR CT,GERMANTOWN,POINT (-77.24179 39.175066)
05/10/2020,2019,TOYT,CAM,NOP,TCL,NOP // HENRYS // 301-869-4800 // TCL,10/22/0005,7924 CORIANDER DR,GAITHERSBURG,POINT (-77.163904 39.158412)
05/04/2020,2020,CHEV,MAL,NOP,tcl,AUTHORIZED 301-562-4020 // EXP GUEST PERMIT // TCL,04/22/0005,14201 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.066743 39.090061)
05/05/2020,2019,CHEV,MAL,NOP,TCL,NOP // SPEEDY'S // 301-588-1322 // TCL,05/22/0005,17901 CALABAR DR,GAITHERSBURG,POINT (-77.164775 39.149455)
05/25/2020,2020,LINC,CON,NOP,AUTHORIZED,NOP AUTHORIZED 301-562-4020  TCL,05/27/0020,9806 MAHOGANY DR,GAITHERSBURG,POINT (-77.201438 39.114884)
05/16/2020,2001,JEEP,GCH,PKG,HENRY'S,DBL PKG // HENRY'S TCL 301-869-4800,05/18/0020,26050 WOODFIELD RD,DAMASCUS,POINT (-77.201886 39.284174)
05/16/2020,2006,TOYT,CAM,FIRE,TCL,FIRE LANE/ BLOCKING ACCESS  HENRYS 301-869-4800  BACK TO LOT,05/18/0020,9326 SPARROW VALLEY DR,MONTGOMERY VILLAGE,POINT (-77.191721 39.188614)
05/02/2020,2012,NISS,SEN,NOP,TCL,NOP // BIG TOW @ 301-424-4869 // TCL,02/22/0005,5025 BRADLEY BLVD,CHEVY CHASE,POINT (-77.100456 38.977849)
05/18/2020,2004,ACURA,TL,NOP,TCL,NO PERMIT// HENRYS// 301-869-4800//TCL,05/20/0020,150 DEER PARK LN,GAITHERSBURG,POINT (-77.2 39.126651)
05/01/2020,2013,CHEV,CRZ,NOP,TCL,NO PERMIT // HENRY''S 301-869-4800 // TCL,01/22/0005,20 BENJI CT,GAITHERSBURG,POINT (-77.182575 39.144735)
05/10/2020,1998,BUIC,LES,EXP,tcl,EXP PERMIT // HENRYS // 301-869-4800 // TCL,10/22/0005,9801 BETHESDA CHURCH RD,DAMASCUS,POINT (-77.203995 39.283485)
05/25/2020,2003,TOYT,COA,NOP,TCL,NO PERMIT // AUTHORIZED 301-562-4020 // TCL,05/27/0020,19757 CRYSTAL ROCK DR,GERMANTOWN,POINT (-77.261484 39.179888)
05/02/2020,2006,HYUN,ELN,NOP,tcl,HENRYS 3018694800  NOP   TCL,02/22/0005,18901 SMOOTHSTONE WAY,MONTGOMERY VILLAGE,POINT (-77.20948 39.167828)
05/27/2020,2008,TOYT,COA,NOP,HENRYS,HENRYS 301-869-4800 // NOP // TCL,05/29/0020,1131 UNIVERSITY BLVD W,SILVER SPRING,POINT (-77.029691 39.036547)
05/27/2020,2006,TOYT,PRI,NOP,TCL,PRV PROP // PRESTIGE @ 301-377-9285 // TCL,05/29/0020,1970 ROSEMARY HILLS DR,SILVER SPRING,POINT (-77.042077 38.999696)
05/03/2020,2012,LINC,MKS,PKG,TCL,HENRYS 301-869-4800   PARKED FIRE LANE   TCL,03/22/0005,2850 SHEPPERTON TER,SILVER SPRING,POINT (-76.951386 39.083072)
05/03/2020,2019,VOLV,S60,PKG,NULL,HANDICAPPED SPACE// AUTHORIZED 301 562 4020// TCL,03/22/0005,11101 GEORGIA AVE,SILVER SPRING,POINT (-77.049899 39.036441)
05/30/2020,2017,BMW,X6,NOP,BIGTOW,NO PERMIT // BNIG TOW 301-424-4869 // TCL,06/01/0020,19405 BRASSIE PL,MONTGOMERY VILLAGE,POINT (-77.202154 39.174243)
05/12/2020,2011,TOYT,CAM,NOP,tcl,NOP // HENRYS 301-869-4800 // TCL,12/22/0005,2002 UNIVERSITY BLVD W,SILVER SPRING,POINT (-77.045816 39.040413)
05/17/2020,2017,NISS,ALT,NOP,tcl,HENRYS / 301-869-4800  NOP / TCL,05/19/0020,670 WEST SIDE DR,GAITHERSBURG,POINT (-77.203538 39.124755)
05/13/2020,2018,JEEP,WRG,PKG,Henry's,VIN UNREADABLE // HANDICAP PARKING // TCL // HENRYS (301) 927-0007,05/15/0020,4340 EAST WEST HWY,BETHESDA,POINT (-77.088258 38.985531)
05/12/2020,2008,GMC,ACA,PKG,TCL,PKG // PRESTIGE // 301-377-9285 // TCL,12/22/0005,101 PARK AVE,GAITHERSBURG,POINT (-77.195077 39.144489)
05/20/2020,2020,FIAT,500X,NOP,NULL,NO PERMIT // HENRY'S 301 869 4800 // TO TCL,05/22/0020,18710 WALKERS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.204414 39.163187)
05/16/2020,2019,HOND,ACC,NOP,tcl,HENRYS 301-927-0007  NOP   TCL,05/18/0020,10629 PATTERNBOND TER,SILVER SPRING,POINT (-77.049393 39.02888)
05/06/2020,2013,VOLK,CC,FIRE,PRESTIGE,FIRE LANE // PRESTIGE (301) 377-9285 - TCL,06/22/0005,101 PARK AVE,GAITHERSBURG,POINT (-77.195077 39.144489)
05/26/2020,2012,INFI,G37,NOP,HENRY'S,NOP // HENRY'S TCL 301-869-4800,05/28/0020,5101 RIVER RD,BETHESDA,POINT (-77.101841 38.963548)
05/09/2020,2016,HOND,ACC,NOP,TCL,"RICKEY'S TOWING (240) 461-9995, NOP, BACK TO THE LOT //",09/22/0005,8502 GREENWOOD AVE,TAKOMA PARK,POINT (-77.001722 38.995715)
05/06/2020,2004,FORD,EXP,NOP,TCL,NOP // PRESTIGE @ 301.377.9285 // TCL,06/22/0005,1970 ROSEMARY HILLS DR,SILVER SPRING,POINT (-77.042077 38.999696)
05/03/2020,2014,TOYT,COA,PKG,tcl,HENRYS / 301-869-4800  NOT IN MARKED SPACE / TCL,03/22/0005,8915 CENTERWAY RD,GAITHERSBURG,POINT (-77.185771 39.169933)
05/20/2020,2018,TOYT,CAM,NOP,tcl,NO PERM // PRESTEIGE 301-377-9285 // TCL,05/22/0020,1599 E JEFFERSON ST,ROCKVILLE,POINT (-77.129159 39.062423)
05/26/2020,2018,HOND,ACC,NOP,tcl,REASON: NOP//DRIVE//301-585-8808/TCL,05/28/0020,1709 HAMPSHIRE GREEN LN,SILVER SPRING,POINT (-76.974533 39.016058)
05/12/2020,2009,MITS,ECL,NOP,TCL,"NOP // RBF 240 793 2272 , TCL",12/22/0005,1528 HEATHER HOLLOW CIR,SILVER SPRING,POINT (-76.986835 39.040678)
05/22/2020,2008,BMW,528XI,NOP,AUTHORIZED,AUTHORIZED 301-562-4020 // NOP // TCL,05/24/0020,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
05/21/2020,2005,HOND,ACC,NOP,BIG TOW,NOP BIG TOW 301-424-4869,05/23/0020,18593 SPLIT ROCK LN,GERMANTOWN,POINT (-77.267714 39.159461)
05/27/2020,2004,HOND,CIV,PRV,tcl,HENRYS TOWING 301-869-4800  FIRE LANE,05/29/0020,13874 OLD COLUMBIA PIKE,SILVER SPRING,POINT (-76.951417 39.083865)
05/29/2020,1998,TOYT,FOR,NOP,custom,"NOP  CUSTOM, 301-253-5151, TCL",05/31/0020,18717 WALKERS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.204492 39.162999)
05/09/2020,2012,TOYT,HGH,NOP,TCL,NO PERMIT // DIVERSIFIED 301-881-8035 // TCL,09/22/0005,762 IVY LEAGUE LN,ROCKVILLE,POINT (-77.156688 39.094015)
05/30/2020,19,DOD,RAM,NOP,authorized,NOP 301-562-4020 AUTHORIZED// TCL,06/01/0020,655 ELMCROFT BLVD,ROCKVILLE,POINT (-77.167284 39.11473)
05/07/2020,2016,HOND,ACC,REPO,DM DISCOUNT AUTO SALES,REPO // DM DISCOUNT AUTO SALES // 540-628-2279 // TCL  DM DISCOUNT AUTO SALES // 540-628-2279,07/22/0005,13008 FLACK ST,SILVER SPRING,POINT (-77.063637 39.069487)
05/27/2020,2010,TOYT,COA,FIRE,TCL,"FIRE LANE // ON THE RUN TOWING 301 740 4600 , TCL",05/29/0020,10820 GEORGIA AVE,SILVER SPRING,POINT (-77.049011 39.033678)
05/31/2020,2016,FORD,TRAN,PKG,TCL,PKG // HENRYS // 301-869-4800 // TCL,06/02/0020,19022 MILLS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.208217 39.168739)
05/13/2020,2015,TOYT,CAM,NOP,tcl,PRESTIGE TOWING 301-377-9285 TO TCL FOR NOP,05/15/0020,501 S FREDERICK AVE,GAITHERSBURG,POINT (-77.19127 39.134986)
05/17/2020,2017,HYUN,ELN,PRV,PRESTIGE,PRESTIGE TOW 301-377-9285//PRV PROP//TCL,05/19/0020,4101 POSTGATE TER,SILVER SPRING,POINT (-77.079155 39.087717)
05/25/2020,2010,NISS,SEN,PKG,TCL,FIRE LANE // AUTHORIZED // 301-562-4020 // TCL,05/27/0020,8700 BARRON ST,TAKOMA PARK,POINT (-76.997186 38.998078)
05/09/2020,2016,FORD,FUS,NOP,TCL,NO PERMIT // HENRY'S // 301 927 0007 // TCL,09/22/0005,11215 GEORGIA AVE,SILVER SPRING,POINT (-77.050954 39.039125)
05/05/2020,2017,FORD,FUS,NOP,tcl,"NOP// HENRY'S, 301-869-4800, TCL  VIN BLOCKED",05/22/0005,5901 MONTROSE RD,ROCKVILLE,POINT (-77.1192 39.052973)
05/12/2020,2008,NISS,ALT,NOP,SPEEDY,NOP/HANDICAP  // SPEEDY TCL 301-588-1322,12/22/0005,2600 CAMELBACK LN,SILVER SPRING,POINT (-77.057109 39.105974)
05/02/2020,2017,NISS,MAX,NOP,TCL,AUTHROZED 301-562-4020   EXP PERMIT   TCL,02/22/0005,19757 CRYSTAL ROCK DR,GERMANTOWN,POINT (-77.261484 39.179888)
05/11/2020,2014,TOYT,CAM,PKG,TCL,PARKED IN RESERVED HANDICAP SPACE // DIVERSIFIED // 301-881-8035 // TCL,11/22/0005,12203 BRAXFIELD CT,ROCKVILLE,POINT (-77.107101 39.056605)
05/29/2020,14,HOND,ACC,NOP,TCL,NOP PRESTIGUE 301 377 9285 TCL,05/31/0020,2217 GEORGIAN WAY,SILVER SPRING,POINT (-77.046564 39.054527)
05/24/2020,2007,FORD,EPD,FIRE,tcl,HENRY'S TOWING 301869-4800,05/26/0020,SHADOW OAK DR / FOREST VIEW PL,MONTGOMERY VILLAGE,
05/14/2020,2009,TOYT,CAM,NOP,Henry's,INVALID PKG PERMIT // HENRYS 301-869-4800 // TCL,05/16/0020,9920 WALKER HOUSE RD,MONTGOMERY VILLAGE,POINT (-77.205532 39.162699)
05/10/2020,2012,VOLK,CC,NOP,Henry's,NO PERMIT// HENRYS 301-869-4800- TCL,10/22/0005,19410 BREEZEDALE LN,GERMANTOWN,POINT (-77.242269 39.174542)
05/20/2020,2020,HYUN,ACC,NOP,tcl,"NOP// AUTHORIZED, 301-562-4020, TCL",05/22/0020,9806 MAHOGANY DR,GAITHERSBURG,POINT (-77.201438 39.114884)
